2023-09-09 20:21:37,632 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:21:37,633 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:21:38,803 Thread-2 (run) ParseResult(scheme='', netloc='', path='/contact', params='', query='', fragment='')
2023-09-09 20:21:38,852 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:21:39,056 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:21:39,521 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 20:21:39,837 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:21:39,837 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:21:44,663 Thread-1 (run_socket_server) Connection from ('192.168.0.2', 54327)
2023-09-09 20:21:44,663 Thread-1 (run_socket_server) received message: 
2023-09-09 20:21:44,970 Thread-2 (run) ParseResult(scheme='', netloc='', path='/contact', params='', query='', fragment='')
2023-09-09 20:21:44,983 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:21:45,235 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:22:30,601 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 20:22:30,630 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:22:30,859 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:22:31,323 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 20:22:31,635 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:22:31,635 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:22:32,150 Thread-2 (run) ParseResult(scheme='', netloc='', path='/contact', params='', query='', fragment='')
2023-09-09 20:22:32,227 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:22:32,407 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:22:32,952 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 20:22:33,256 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:22:33,256 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:22:33,567 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 20:22:33,873 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:22:33,873 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:34:16,238 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 20:34:16,248 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:34:16,489 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:34:17,833 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 20:34:17,899 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:34:18,076 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:44:38,672 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 20:44:38,738 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:44:38,930 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:44:39,576 Thread-2 (run) ParseResult(scheme='', netloc='', path='/contact', params='', query='', fragment='')
2023-09-09 20:44:39,883 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:44:39,891 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:44:40,740 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 20:44:40,801 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:44:41,003 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:44:41,134 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 20:44:41,441 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:44:41,449 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:44:50,612 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 20:44:50,661 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:44:50,866 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:44:51,952 Thread-2 (run) ParseResult(scheme='', netloc='', path='/contact', params='', query='', fragment='')
2023-09-09 20:44:52,272 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:44:52,272 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:44:52,911 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 20:44:53,214 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:44:53,214 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:45:03,354 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 20:45:03,664 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:45:03,664 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:45:04,293 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 20:45:04,594 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:45:04,603 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:45:05,219 Thread-2 (run) ParseResult(scheme='', netloc='', path='/contact', params='', query='', fragment='')
2023-09-09 20:45:05,292 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:45:05,482 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:55:08,781 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 20:55:08,781 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:55:09,032 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:55:10,508 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 20:55:10,567 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:55:10,772 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:55:11,211 Thread-2 (run) ParseResult(scheme='', netloc='', path='/contact', params='', query='', fragment='')
2023-09-09 20:55:11,528 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:55:11,529 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:55:12,203 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 20:55:12,518 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:55:12,519 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:55:24,091 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 20:55:24,353 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:55:24,403 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:55:26,408 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 20:55:26,418 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
